	151_Le	173_Le	279_Le	294_Ob	295_Ob	75_Ob	138_Ob	65_Ob	283_Ob	96_IR	132_IR	95_IR	126_IR
FOXJ2|NM_018416	4.307544078	4.736872467	2.425067798	4.549349165	2.797782294	2.85883965	2.722905209	2.439493811	3.731462099	5.981963386	2.408795386	2.048560181	2.667691713
ZNF654|NM_018293	3.025568752	3.300507016	1.168004129	1.597704914	2.496870643	2.83484562	2.093724585	2.902823184	3.638475144	5.246952719	1.70971938	0.837169334	2.098606233
ZMYM2|NM_003453+NM_197968+NM_001190964+NM_001190965	5.583516636	5.625659941	7.85478385	4.475575133	3.592841822	3.988518678	4.536504913	5.090713149	6.280078704	3.583330596	3.895285047	4.370578928	4.385847808
DCAF6|NM_018442+NM_001198957+NM_001198956+NM_001017977	19.53404774	22.68927445	14.57096986	21.96229043	19.97852411	17.73951837	17.74149715	13.20977846	24.67012601	19.05526075	23.14169122	14.77892303	18.84136626
PDP1|NM_018444+NM_001161780+NM_001161779+NM_001161781	2.890624185	1.860900988	3.254736108	1.90805632	2.208802542	2.031305677	2.692767486	4.622255398	3.586233385	4.503805502	2.552286752	2.194870344	3.938403622
ZNF302|NM_018443+NM_001289183+NM_001289182+NM_001289181+NM_001289186+NM_001289185+NR_110322+NM_001289184+NM_001289187+NM_001289188+NM_001289189+NM_001289192+NM_001289191+NM_001289190+NM_018675+NM_001012320	8.061572784	14.68054146	5.580418306	13.94169616	14.18368941	13.94131932	8.940727375	12.21695135	8.357056144	9.591960121	6.228559753	8.783075816	10.03572864
TMED4|NM_001303062+NM_182547+NM_001303061+NM_001303059+NM_001303058+NM_001303060	55.10257302	78.50906467	67.21048004	52.46436718	57.80370677	75.17805298	66.49088741	69.4214344	47.6056394	55.31385606	59.9135132	64.84574502	53.91833903
SLC5A6|NM_021095+NR_028323	50.93206843	67.21009696	28.40782345	40.69265803	51.09954178	58.59254144	50.96691365	40.72148664	57.93978091	36.83261602	60.44501472	52.50486873	71.52382593
PLSCR1|NM_021105	3.561682751	5.170006942	2.578064964	2.115910531	14.08415671	2.92001897	2.132931606	12.45849554	1.905657793	2.895320453	3.144800264	5.081541589	4.301260579
RPL41|NM_021104+NM_001035267	21.90221435	27.56827332	21.13807261	24.91106234	26.26274407	25.25730695	40.35769562	18.85840763	15.96827488	12.32618232	22.61132929	15.73347793	25.04158556
MARK1|NM_018650+NM_001286129+NM_001286128+NM_001286126+NM_001286124	3.972079746	2.636297956	6.244936897	5.763271587	3.118211413	5.951185835	4.525517328	4.746921935	8.08287633	6.910993161	6.046970763	4.741869999	5.194878848
